Course Description,Num Students,Avp GPA,Session Description, Descriptor of what it means
TOPICAL SEMINAR:,29,3.7516206896551725,100,Regular Academic Session
LEARNING THEORIES FOR TEACHERS,393,3.51145038167939,78.9,Regular Academic Session
INSTRUCT IN CONTEXT OF CURRIC,47,3.8957872340425532,0,Eight Week - Second
ASSESSMENT AND EVALUATION,33,3.891181818181818,100,Regular Academic Session
IND RSRCH EXPERIENCE-CURR/INST,6,4.0,100,Regular Academic Session
CURRICULUM THEORY & PRACTICE,7,3.857,80,Thirteen Week
SEM:INQ IN CURR & INSTRUCTION,18,4.0,100,Regular Academic Session
PARADIGMS & PROG IN TEACHER ED,7,4.0,87.5,Thirteen Week
INTRO TO EXCEPTIONAL CHILDREN,75,3.205293333333333,65.4,Regular Academic Session
TCHG EXCEPTNL LEARNER-ELEM SCH,294,3.655908163265306,100,Regular Academic Session
TCHNG STDS SP NEEDS SEC CL RMS,65,3.7032307692307693,100,Regular Academic Session
BEHAVIOR INTERVENTION/SUPPORT,42,3.8309999999999995,100,Regular Academic Session
SPECIALLY DESIGNED INSTRUCTION,35,3.971228571428571,100,Regular Academic Session
ASSISTVE TCH ELEM STDNTS DISAB,42,3.938333333333334,100,Regular Academic Session
TRANSITION ACROSS THE LIFESPAN,6,3.567,100,Regular Academic Session
"FAMILIES, SCHOOL & SOCIETY",30,3.6895666666666664,76.9,Regular Academic Session
INTROD SP ED FOR GRAD STUDENTS,37,3.3702972972972973,88.2,Regular Academic Session
ASSMT FOR INSTRUCTN IN SPEC ED,30,3.4231333333333334,100,Regular Academic Session
CLASSRM MGMT & BEHAVR SUPPORT,16,3.875,0,Regular Academic Session
INTRODUCTION TO AUTISM,8,3.75,66.7,Thirteen Week
DISABILITY RIGHTS/POLICY/SRVCS,16,3.4373750000000003,66.7,Regular Academic Session
PARA & POL SPEC ED IN US,6,3.883,100,Regular Academic Session
LANGUAGE AND LEARNING,34,3.7939999999999996,35.3,Regular Academic Session
LANG EDUC ISSUES FOR ENG TCHRS,37,3.697594594594595,100,Regular Academic Session
YOUNG ADULT LIT DIVERSE SOC,36,3.2585,100,Regular Academic Session
TCHNG ENGL LANG LRNRS: BIL/ENL,23,3.9133478260869565,100,Regular Academic Session
RESEARCH IN LANGUAGE EDUCATION,19,3.6161052631578947,0,Regular Academic Session
INST ISS IN LCLE,14,3.3355,100,Regular Academic Session
ADV STDY CONTENT RDG & LIT,14,3.6,80,Regular Academic Session
READING RESEARCH,54,3.7665740740740743,100,Regular Academic Session
ESL/EFL INSTR&ASSMT APPROACHS,12,3.6665000000000005,100,Regular Academic Session
"ISSUES IN LIT,CLTR & LANG EDUC",56,4.0,100,Regular Academic Session
DOCTORAL EARLY INQUIRY LCLE,32,3.9187187499999996,100,Regular Academic Session
"SEM-LIT, CLTR & LANG EDUC RSCH",30,3.979833333333333,100,Regular Academic Session
"RSCH SEM IN LIT,CLTR&LANG EDUC",71,3.915492957746479,87.5,Regular Academic Session
CHILD ART,40,3.7272999999999996,77.3,Regular Academic Session
IND INSTRUCTION IN ART,183,3.461748633879782,90.9,Regular Academic Session
"ARTIFCTS,MUSEUMS&EVERYDAY LIFE",291,3.73066323024055,50,Regular Academic Session
LABORATORY-FIELD EXPERIENCE,156,3.8211923076923076,100,Regular Academic Session
"ART, INTERDISCIPLIN & EDUCATN",155,3.899935483870968,45.8,Regular Academic Session
TCHNG IN PLURALISTIC SOCIETY,98,3.506051020408163,100,Regular Academic Session
MATH THROUGHOUT SECONDARY CURR,25,3.4358,100,Regular Academic Session
TCHING OF MUS IN THE ELEM SCH,212,3.6674811320754714,100,Regular Academic Session
DESIGN VISUAL LEARNING EXPER,22,3.786181818181818,100,Regular Academic Session
ART EXPRNCE FOR THE ELEM TCH,99,3.7766262626262623,100,Regular Academic Session
DRAMA IN EDUCATION,137,3.6832700729927006,100,Regular Academic Session
METH & MTLS FOR TEACH ELEM MUS,34,3.7795000000000005,0,Regular Academic Session
METH & MTLS FOR TCH CHORAL MUS,16,3.75,0,Regular Academic Session
METH & MATLS TEACH INST MUS,27,3.7666296296296298,0,Regular Academic Session
INQUIRY HIGH SCHOOL ENGLISH,26,3.823230769230769,100,Regular Academic Session
MTDS TCHG JR/MID H.S. SOC STDS,53,3.5190188679245287,100,Regular Academic Session
ADMINISTRATION OF SCHOOL BANDS,18,3.8390000000000004,0,Regular Academic Session
MTHD OF TCH FOREIGN LANG,16,3.7559375,100,Regular Academic Session
METH OF TCH SH/JH/MS SCIENCE,7,3.757,100,Regular Academic Session
CONTENT AREA LITERACY,82,3.822085365853658,100,Regular Academic Session
TEACHING SOCIAL STUDIES 5-12,41,3.375878048780488,100,Regular Academic Session
TEACH & LEARN ELEM MATH,294,3.530030612244898,79.2,Regular Academic Session
TEACH & LEARN ELEM MATH II,232,3.500883620689655,100,Thirteen Week
TECH IN MATH TEACHING LEARNING,19,3.9,100,Regular Academic Session
CHILD/ADOLESCENT MENTAL HEALTH,205,3.9164975609756096,41.7,Eight Week - Second
ELEM SCHOOL CHILD: DEVELOPMENT,360,3.5102916666666664,89.3,Regular Academic Session
GENERAL EDUC PSYCHOLOGY,99,3.1122626262626265,50,Regular Academic Session
ADOLESCENTS IN A LRNG COMMUN,154,3.605350649350649,66.7,Regular Academic Session
LIFE SPAN DEVELOPMENT,156,3.631519230769231,37.5,Eight Week - Second
CHILD&ADOL TRAUMA APPLD SETTNG,179,3.5565642458100557,20.8,Eight Week - First
BEHAVIOR MANAGEMENT OF YOUTH,143,3.50620979020979,33.3,Eight Week - Second
ASSESSMENT IN SCHOOLS,17,4.0,0,Regular Academic Session
LIFE SPAN DEVELPMT:BIRTH-DEATH,94,3.926585106382978,93.3,Regular Academic Session
LEARNING & COGNITION IN EDUC,55,3.8436,85,Regular Academic Session
INTERNSHIP IN SCHOOL PSYCH I,7,4.0,100,Regular Academic Session
"PREVENT, ASSESS & INTERVENTN I",10,4.0,100,Thirteen Week
BIOLOGY OF BEHAVIOR,62,3.864467741935484,91.7,Regular Academic Session
TOPIC SEM IN EDUC PSYCHOLOGY,39,3.9489487179487184,100,Regular Academic Session
PRACTICUM IN SCHOOL PSYCHOLOGY,28,3.9571428571428577,100,Regular Academic Session
BEH ANALYSIS & CONSULT SCH PSY,20,4.0,100,Thirteen Week
ADV TOPICL SEM LEARNG SCIENCES,50,3.90616,100,Regular Academic Session
PSYCH OF CULTURAL DIVERSITY,23,3.9349565217391302,100,Regular Academic Session
DEV PSYCHOPATH CHILD ADOL,23,4.0,100,Thirteen Week
PRACTICUM-THER INTERV CHILDREN,17,3.965117647058824,100,Regular Academic Session
ADV PRACTICUM IN SCHOOL PSYCH,42,3.959285714285714,100,Regular Academic Session
INTRO TO SCIENTIFIC INQUIRY,359,3.499066852367688,82.6,Regular Academic Session
STEM FOR EDUCATORS,301,3.41267441860465,76.9,Regular Academic Session
INTEG SCIENCES-SCIENCE EDUC,27,3.8925555555555555,100,Regular Academic Session
PROF SEM IN SCIENCE EDUCATION,28,3.989392857142857,100,Regular Academic Session
TOPICAL SEMINAR IN SCIENCE ED,54,3.866833333333333,100,Regular Academic Session
INSTR & PERF TECH FOUNDATNS I,43,3.9536279069767444,94.4,Regular Academic Session
INSTRUCT DESIGN & DEV I,53,3.9113207547169813,95.7,Regular Academic Session
"INSTR TECH:THINK,COLL,MOTIVATN",21,3.952,90.9,Eight Week - First
ANALYSIS FOR INSTR/PERF IMPRV,41,4.0,100,Regular Academic Session
TPC INQUIRY SEM INSTR SYS TECH,30,4.0,100,Regular Academic Session
READINGS IN INSTRUCTIONAL TECH,36,3.9916666666666663,93.3,Regular Academic Session
TOPICS IN SECONDARY EDUCATION:,104,3.8577980769230766,100,Regular Academic Session
SECONDARY SCHOOL CURRICULUM,27,3.6075555555555554,91.7,Regular Academic Session
CLTR/COMM FORCES & THE SCHOOLS,10,4.0,63.6,Regular Academic Session
TRNG FOR PARAPROF IN STDNT AFF,255,3.9423764705882354,10.2,Regular Academic Session
CURR ISSUES IN UNDERGRAD LIFE,180,3.7011944444444445,3.2,Eight Week - Second
FOUNDATIONS UNDERGRAD SUCCESS,523,3.89563862332696,0,Regular Academic Session
TODAY'S COLLEGE STUDENT,43,3.530279069767442,12.5,Regular Academic Session
SEMINAR IN LEADERSHIP TRAINING,69,3.9652608695652174,22.2,Eight Week - Second
STUDEN DEV THEORY & RESEARCH,36,3.9582499999999996,100,Thirteen Week
ENVIRONMENT THRY & ASSESSMENT,38,3.7315,100,Regular Academic Session
USING COMPUTERS IN EDUCATION,492,3.5808719512195126,87,Regular Academic Session
RESOURCES FOR BLENDED & ONLINE,10,4.0,100,Eight Week - Second
TECHNIQUES IN TEXTBOOK READING,78,3.5974102564102566,0,Regular Academic Session
LEARNING STRAT FOR ACCOUNTING,516,3.8484186046511617,0,Eight Week - Second
READ - LEARN TECHNIQUES 1,693,3.6040086580086585,0,Eight Week - Second
READ - LEARN TECHNIQUES 2,71,3.9450563380281687,5.3,Eight Week - Second
READ - LEARN TECHNIQUES 3,346,3.8067601156069366,0,Thirteen Week
COLLEGE AND LIFE LONG LEARNING,287,3.4676341463414633,0,Eight Week - First
CULTURE OF COLLEGE,471,2.9927961783439505,0,Regular Academic Session
PROG EVAL FOR ED PROFESSIONALS,39,3.50025641025641,100,Regular Academic Session
INTERMDIATE STAT APPLIED TO ED,85,3.822423529411764,66.7,Thirteen Week
STRATEGIES FOR EDUC INQUIRY,181,3.800618784530387,95,Thirteen Week
METHODOLOGICL APPR TO EDUC INQ,61,4.0,100,Thirteen Week
EDUC ASSMT & PSYCH MEASUREMENT,37,3.967459459459459,95.2,Thirteen Week
EVALUATION MODELS & TECHNIQUES,20,3.85,100,Thirteen Week
MULTIVARIATE ANLS IN EDUC RES,51,3.9883333333333333,66.7,Regular Academic Session
QUALITATIVE INQUIRY IN EDUCATN,125,3.9199919999999997,90,Thirteen Week
CRITICAL QUALITATIVE INQUIRY I,20,4.0,80,Regular Academic Session
NARRATIVE THEORY AND INQUIRY,37,4.0,85,Thirteen Week
CATEGORICAL DATA ANALYSIS,23,3.878478260869565,85.7,Regular Academic Session
APPLIED THEATRE,15,3.84,93.3,Regular Academic Session
ART EDUCATION DOCTORAL SEMINAR,44,3.893295454545455,100,Regular Academic Session
ART EDUCATION RESEARCH SEMINAR,21,3.9856666666666665,100,Regular Academic Session
HIST OF THE ENGLISH LANGUAGE,6,3.6,0,Regular Academic Session
DISCOVERING LITERATURE,30,3.257,0,Regular Academic Session
INTRODUCTION TO FICTION,1066,3.53175515947467,4,Regular Academic Session
INTRODUCTION TO POETRY,379,3.5873588390501316,0,Regular Academic Session
INTRO TO PROSE (EXCLUDG FICTN),95,3.6347684210526316,4,Regular Academic Session
WOMEN AND LITERATURE,56,3.3465,12.5,Regular Academic Session
LITERARY MASTERPIECES,71,3.096,20.7,Eight Week - Second
INTRO TO WORLD LIT IN ENGLISH,26,2.862,0,Regular Academic Session
INTRO TO ADVANCED STUDY OF LIT,196,3.4085867346938774,41.4,Regular Academic Session
AMERICAN FILM CULTURE,51,3.0157450980392158,3.8,Eight Week - Second
LITERARY HISTORY 1,57,3.3264035087719304,63.3,Regular Academic Session
EARLY PLAYS OF SHAKESPEARE,26,3.585,42.3,Regular Academic Session
ROMANTIC LITERATURE,24,2.896,50,Regular Academic Session
19TH CENTURY BRITISH FICTION,52,3.579,48.1,Regular Academic Session
CRITICAL PRACTICES,93,3.5051182795698925,66.7,Regular Academic Session
LITERARY MODERNISM,48,3.64,40,Regular Academic Session
QUEER LITERARY STUDIES,20,3.57,56,Regular Academic Session
COMICS AND THE GRAPHIC NOVEL,48,3.262291666666666,57.7,Regular Academic Session
AFRICAN AMERICAN LITERATURE,72,3.834847222222222,42.3,Regular Academic Session
SEMINAR: LIT FORM MODE & THEME,28,3.667964285714286,66.7,Regular Academic Session
SEMINAR: LITERATURE & HISTORY,15,3.587,33.3,Regular Academic Session
PRACTICUM ON RESRCH TECHNIQUES,17,3.9823529411764707,100,Regular Academic Session
READINGS IN SHAKESPEARE,9,3.822,100,Regular Academic Session
"BRITISH LIT & CLTR, 1790-1900",11,4.0,100,Regular Academic Session
RDGS AMER ETHNIC LIT & CLTR,6,3.333,0,Eight Week - Second
"RDGS IN MEDIA, LIT, AND CLTR",14,3.9285714285714284,0,Regular Academic Session
"RESRCH: AESTHETICS,GENRE,&FORM",6,3.883,100,Regular Academic Session
"RSCH COMP, LITERACY & CULTURE",7,4.0,100,Regular Academic Session
PUBLIC SPEAKING-HONORS,93,3.722462365591398,8,Regular Academic Session
TPCS RHET & PUBLIC CULTURE,67,3.2940149253731343,0,Regular Academic Session
INTRO TO DIGITAL RHETORIC,45,3.544466666666666,0,Regular Academic Session
RHETORICAL CRITICISM,48,3.1643749999999997,0,Regular Academic Session
"SCIENCE, ADVOCACY & THE PUBLIC",68,3.301352941176471,0,Regular Academic Session
ENVIRONMENTAL COMMUNICATION,49,3.5530612244897966,0,Regular Academic Session
PUBLIC MEMORY IN COMM&CULTURE,57,3.321035087719298,23.3,Regular Academic Session
HISTORY OF RHETORIC II,7,3.914,87.5,Regular Academic Session
INTRODUCTORY CREATIVE WRITING,472,3.556845338983051,6.7,Regular Academic Session
"READING, WRITING, & INQUIRY I",6103,3.400210716041294,0,Regular Academic Session
INTRO TO ARGUMENTATIVE WRITING,667,3.5198740629685163,0,Regular Academic Session
DIGITAL LITERACY + COMPOSITION,725,3.583296551724138,0,Regular Academic Session
CREATIVE WRITING,369,3.801303523035231,20,Regular Academic Session
PROFESSIONAL WRITING SKILLS,540,3.652653703703704,4,Regular Academic Session
COLLABORATIVE DIGITAL WRITING,119,3.6830588235294117,0,Regular Academic Session
WRITING FICTION,70,3.6458285714285714,18.8,Regular Academic Session
WRITING POETRY,30,4.0,0,Regular Academic Session
WRITING CREATIVE NONFICTION,42,3.7474285714285713,50,Regular Academic Session
ADVANCED EXPOSITORY WRITING,170,3.2658941176470586,0,Regular Academic Session
THE CRAFT OF POETRY,47,3.908510638297872,27.3,Regular Academic Session
ADVANCED FICTION WRITING,42,3.6479047619047615,53.3,Regular Academic Session
PRACTICUM ON TEACHING OF COMP,23,4.0,100,Regular Academic Session
PRACT:TEACH OF CREATIVE WRITNG,15,4.0,100,Regular Academic Session
WRITING FICTION 1,14,3.907,100,Regular Academic Session
WRITING POETRY 1,23,4.0,100,Regular Academic Session
THEORY AND CRAFT OF WRITING,13,4.0,100,Regular Academic Session
INNOVATION AND DESIGN,238,3.5401302521008406,25.5,Regular Academic Session
SOFTWARE SYSTEMS ENGINEERING,33,3.1818181818181817,86.2,Regular Academic Session
COMPUTER SYSTEMS ENGINEERING,64,3.234375,94.7,Regular Academic Session
ENGINEERNG SUSTAINABLE PRODCTS,20,3.5248,100,Regular Academic Session
INTELLIGENT SYSTEMS I,72,2.7165,94.6,Regular Academic Session
"SYSTEMS, SIGNALS, AND CONTROL",73,3.3834520547945206,100,Regular Academic Session
ENGR PROFESSIONLIZATN & ETHICS,75,3.8948266666666664,100,Eight Week - First
DIGITAL DESIGN WITH FPGAS,54,3.1539629629629635,100,Regular Academic Session
ENGINEERING NETWORKS,21,3.362,75,Regular Academic Session
WEARABLE SENSORS,54,3.6609444444444446,78.6,Regular Academic Session
TOPICS IN INTELL SYS ENGINEER,290,3.706513793103448,100,Regular Academic Session
ENGINEERING CAPSTONE DESIGN I,73,3.853383561643836,96.9,Regular Academic Session
INTRO TO THE ISE PROGRAM,103,3.990300970873786,67.7,Regular Academic Session
INTRO TO COMPUTER ENGINEERING,45,3.735666666666667,93.3,Regular Academic Session
INTRO TO INTELLIGENT SYSTEMS,61,3.8061803278688524,51.1,Regular Academic Session
INTRODUCTION TO BIOENGINEERING,27,3.6484444444444444,76.9,Regular Academic Session
INTRO TO ISE NEURO-ENGINEERING,22,3.672909090909091,92.3,Regular Academic Session
ENGINEERING CLOUD COMPUTING,245,3.7848775510204087,0,Regular Academic Session
HIGH PERFORMANCE COMPUTING,25,3.66392,37.5,Regular Academic Session
DEEP LEARNING SYSTEMS,151,3.797397350993377,23.4,Regular Academic Session
BIG DATA APPLICATIONS,112,3.6490714285714287,9.3,Regular Academic Session
RAPID PROTOTYPING FOR ENGR,8,3.925,90,Regular Academic Session
SCIENTIFIC VISUALIZATION,61,3.87555737704918,16.1,Regular Academic Session
IND STUDY INTEL SYS ENGINEER,90,3.9966666666666666,66.7,Regular Academic Session
THESIS READINGS AND RESEARCH,29,4.0,100,Regular Academic Session
CAREER DEVELPMT FOR ISE MAJORS,82,3.180219512195122,100,Eight Week - Second
BEGINNING MODERN GREEK I,30,3.8302,0,Regular Academic Session
INTERMEDIATE MODERN GREEK I,24,3.6958749999999996,0,Regular Academic Session
EUROPN LESS COMNLY TAUGHT LANG,7,3.143,0,Regular Academic Session
INTRO TO EUROPEAN STUDIES,60,3.177,0,Regular Academic Session
MOD EUROPN POLITICS & SOCIETY,21,3.114428571428571,0,Regular Academic Session
SPECIAL TOPICS IN EUR STUDIES,7,3.3,0,Eight Week - Second
GLOBAL POP MUSIC,434,3.3055092165898614,0,Regular Academic Session
ETHNOMUSICOLOGY & HUMANITIES,49,3.524469387755102,5,Regular Academic Session
ETHNOMUSICOLOGY/SOCIAL SCIENCE,52,3.2575,3.8,Regular Academic Session
THE STUDY OF ETHNOMUSICOLOGY,17,3.8115882352941175,50,Regular Academic Session
INTRODUCTION TO FOLKLORE,811,3.5358545006165234,0,Regular Academic Session
WORLD MUSIC AND CULTURE,657,3.3682450532724504,0.4,Regular Academic Session
FOLKLORE IN THE UNITED STATES,429,3.2802167832167832,0,Regular Academic Session
URBAN LEGEND,294,3.6735136054421766,0.7,Regular Academic Session
FOLKLORE & THE HUMANITIES,90,2.888955555555555,0,Regular Academic Session
FOLKLORE & THE SOCIAL SCIENCES,74,3.7700000000000005,12.8,Regular Academic Session
IRISH FOLKLORE,45,3.2554444444444446,19.2,Regular Academic Session
FOLK CULTURE & RELATED FIELDS,77,3.442844155844156,17.2,Regular Academic Session
WOMEN'S FOLKLORE/FOLKLIFE/MUS,13,3.8,38.5,Regular Academic Session
CHLDRN'S FOLKLORE/FOLKLIFE/MUS,29,3.5622413793103447,5.3,Regular Academic Session
FOLKLORE OF THE SOUTH,30,3.883,22.6,Regular Academic Session
METHODS AND THEORIES,40,3.5622749999999996,18.2,Regular Academic Session
FOLKLORE THEORY IN PRACTICE,18,4.0,100,Regular Academic Session
PUBLC PRACTICE FOLK&ETHNOMUSIC,11,4.0,81.8,Regular Academic Session
COLLOQ IN THEORET FLK/ETHNOMUS,15,3.8067333333333333,100,Regular Academic Session
SPEC TPCS IN FOLKLORE/ETHNOMUS,9,3.922,88.9,Regular Academic Session
ELEMENTARY FRENCH I,483,2.9244741200828166,0,Regular Academic Session
ACCELERATED ELEMENTARY FRENCH,28,3.2285,0,Regular Academic Session
ELEM FRENCH II: LANG & CUL,403,2.800843672456576,0,Regular Academic Session
SEC YR FRENCH I: LANG & CULTR,400,3.164955,0,Regular Academic Session
FRENCH CULTURE: TOPICS,62,3.0918870967741934,0,Eight Week - Second
SEC YR FRENCH II: LANG/CULTUR,339,3.1463539823008846,0,Regular Academic Session
FREN/FRANCOPHONE STUDIES-INTRO,123,3.6876747967479675,0,Regular Academic Session
STAGE AND PAGE,24,3.6125000000000003,7.1,Regular Academic Session
ADVANCED GRAMMAR,57,3.19840350877193,10.5,Regular Academic Session
CREATIVE/CRITICAL WRITING-FREN,22,3.713636363636364,0,Regular Academic Session
THE SOUNDS & RHYTHMS OF FRENCH,29,2.8031724137931033,5,Regular Academic Session
LA FRANCE MEDIEVALE (A 1500),31,3.6323225806451616,16.7,Regular Academic Session
THEMES LITTERAIRES & CULTURELS,26,3.738692307692307,0,Regular Academic Session
INTRO TO FREN LINGUISTICS,17,2.888,38.9,Regular Academic Session
CINEMA/CULTR: LA FRANC CONTEMP,17,3.471,35.3,Regular Academic Session
MEDIEVAL FRENCH LITERATURE 1,7,3.914,75,Regular Academic Session
INTRODUCTION TO FRENCH SYNTAX,7,3.671,100,Regular Academic Session
HIST OF THE FRENCH LANGUAGE 1,9,3.733,100,Regular Academic Session
STDS IN 19TH-CENT FRENCH LIT,6,4.0,100,Regular Academic Session
ELEMENTARY ITALIAN I,400,3.168432499999999,0,Regular Academic Session
ITALIAN THROUGH MUSIC,29,3.499931034482758,0,Regular Academic Session
ELEMENTARY ITALIAN II,224,3.053151785714286,0,Regular Academic Session
INTERMEDIATE ITALIAN I,149,2.8296442953020127,0,Regular Academic Session
ACCELERATED SECND-YEAR ITALIAN,66,3.555984848484848,3.7,Regular Academic Session
DANTE'S DIVINE COMEDY,24,3.392,8.3,Regular Academic Session
INTERMEDIATE ITALIAN II,103,3.0855533980582526,0,Regular Academic Session
ITALIAN CONVERSATION & DICTION,38,3.289473684210526,5,Regular Academic Session
VISIONS OF ITALY,24,3.6835833333333334,21.4,Regular Academic Session
ITALIAN RENAISSANCE LITERATURE,13,3.931,46.2,Regular Academic Session
DANTE,6,3.783,83.3,Regular Academic Session
SEMINAR IN MODERN ITALIAN LIT,6,3.783,83.3,Regular Academic Session
PHYSICAL SYS OF ENVIRONMENT,103,3.050592233009709,0,Regular Academic Session
WEATHER & CLIMATE,275,3.2660945454545454,0,Regular Academic Session
REGIONS OF THE WORLD,462,3.3174740259740254,0,Regular Academic Session
ENVIR CHG:END OF WRLD AS KNOWN,339,3.3885103244837755,0,Regular Academic Session
ENVIRONMENT AND SOCIETY,411,3.374136253041363,6.6,Regular Academic Session
MAPPING OUR WORLD,260,3.352553846153846,7.3,Regular Academic Session
URBAN GEOGRAPHY,69,3.059217391304348,11.1,Regular Academic Session
ENVIRONMENTAL CONSERVATION,112,3.5838571428571435,1.7,Regular Academic Session
GEOGRAPHY OF LATIN AMERICA,17,2.888,0,Regular Academic Session
ENVIRONMENTAL REMOTE SENSING,76,3.3776447368421056,12,Regular Academic Session
GEOGRAPHIC INFORMATION SYSTEMS,91,3.5067912087912094,7.4,Regular Academic Session
FIELD METHODS IN PHYSICAL GEOG,11,3.818,9.1,Eight Week - First
FOOD & POVERTY IN AMERICA,103,3.3123009708737867,0,Regular Academic Session
THE GEOGRAPHY OF FOOD,32,3.6719687500000004,5.3,Regular Academic Session
GEOGRAPHY OF INTL DEVELOPMENT,42,2.952714285714286,15.4,Regular Academic Session
ECOLOGICAL CLIMATOLOGY,26,3.492,10.7,Regular Academic Session
ADV GEOGRAPHIC INFO SYSTEMS,36,3.6500000000000004,25,Regular Academic Session
FOOD AND GLOBAL POVERTY,35,3.709,8.3,Regular Academic Session
APPLIED SPATIAL STATISTICS,45,3.7355111111111112,58.3,Regular Academic Session
RESEARCH PROBLEMS IN GEOGRAPHY,14,3.9499999999999997,85.7,Regular Academic Session
MIGRATION AND MOBILITY,8,4.0,25,Regular Academic Session
DEPT OF GEOGRAPHY COLLOQUIUM,23,4.0,100,Regular Academic Session
GIS & WATER RESOURCES,6,4.0,50,Regular Academic Session
READINGS IN GEOGRAPHY,15,4.0,85.7,Regular Academic Session
RESEARCH IN GEOGRAPHY,8,4.0,100,Regular Academic Session
AN INTRO TO GERMAN CULTURE,123,3.2927073170731704,0,Regular Academic Session
FAIRY TALES GRIMMS TO TODAY,166,3.7433554216867466,0,Regular Academic Session
SCANDINAVIAN CULTURE,57,3.679,0,Regular Academic Session
MULTICULTURAL GERMANY,69,3.3173913043478263,0,Regular Academic Session
BEGINNING GERMAN I,311,3.213864951768489,0,Regular Academic Session
BEGINNING GERMAN II,183,3.4825191256830603,0,Regular Academic Session
INTERMEDIATE GERMAN I,192,3.1090260416666666,0,Regular Academic Session
INTERMEDIATE GERMAN II,148,3.514189189189189,0,Regular Academic Session
FIFTH-SEMESTER COLLEGE GERMAN,66,3.668242424242424,0,Regular Academic Session
INTRO TO GERMAN LIT-TYPES,22,3.945272727272727,0,Regular Academic Session
SIXTH-SEMESTER COLLEGE GERMAN,41,3.702634146341463,0,Regular Academic Session
INTRO GERMAN THOUGHT & CULTURE,44,3.570272727272727,8,Regular Academic Session
INTRO HISTORY OF GERMAN LANG,16,3.138,31.3,Regular Academic Session
GERMAN CULTURE AND SOCIETY,13,3.562,38.5,Regular Academic Session
ELEM GERMAN FOR GRAD STUDENTS,16,3.8563125000000005,0,Regular Academic Session
HIST STUDY OF GERMAN LIT I,8,4.0,75,Regular Academic Session
LIT AND CULTURE:SPECIAL TOPICS,6,3.883,50,Regular Academic Session
BEGINNING NORWEGIAN I,40,3.7900000000000005,0,Regular Academic Session
INTERMEDIATE NORWEGIAN I,24,3.6253333333333337,11.1,Regular Academic Session
BEGINNING DUTCH I,32,2.81575,0,Regular Academic Session
"DUTCH READING, COMP & CONV I",17,2.8821764705882353,0,Regular Academic Session
LOCAL GERMAN CULTURE & SOCIETY,10,4.0,0,Regular Academic Session
SEL TOPICS IN GERMAN STUDIES,41,3.8490731707317067,0,Regular Academic Session
"GENDER, CULTURE, AND SOCIETY",889,3.6489448818897645,0,Regular Academic Session
"SEX, GENDER & THE BODY",168,3.2605119047619047,1.1,Regular Academic Session
THEMES IN GENDER STUDIES,24,3.504,0,Regular Academic Session
"GAY HISTORIES, QUEER CULTURES",54,3.492555555555555,17.1,Regular Academic Session
GENDER SEXUALITY & POP CULTURE,982,3.3165193482688395,1.3,Regular Academic Session
ISSUES IN GENDER STUDIES,38,3.426578947368421,3.6,Regular Academic Session
EXPLAINING SEX/GENDER DIFFRNCE,66,3.5074242424242428,12.1,Regular Academic Session
INTERNATIONAL FEMINIST DEBATES,63,3.4742380952380953,20.6,Regular Academic Session
"HEALTH, SEX AND GENDER",87,3.5024367816091955,16.7,Regular Academic Session
CONCEPTS OF GENDER,23,4.0,27.3,Regular Academic Session
RESEARCHING GENDER ISSUES,14,4.0,33.3,Regular Academic Session
CYBERSECURITY CLINIC,20,3.9251999999999994,83.3,Non Standard Session
CURATORSHIP PRACTICUM,15,4.0,50,Regular Academic Session
EDUCATION AND ITS AIMS,290,3.9738620689655173,0,Regular Academic Session
CLASSIC AUTHORS & QUESTIONS I,42,4.0,0,Regular Academic Session
"PAST AUTHORS, QUESTIONS II",18,3.7,0,Regular Academic Session
ELEMENTARY PORTUGUESE I,26,3.027307692307692,0,Regular Academic Session
SECOND-YEAR PORTUGUESE I,17,2.882058823529412,0,Regular Academic Session
BRAZILIAN CINEMA,16,3.8000624999999997,100,Regular Academic Session
LUSO-BRAZILIAN COLLOQUIA,7,4.0,100,Regular Academic Session
SEMINAR-PORTUGUESE LITERATURE,7,3.857,100,Regular Academic Session
ELEMENTARY SPANISH,187,3.251267379679145,0,Regular Academic Session
FIRST YEAR SPANISH,1892,3.343528541226215,0,Regular Academic Session
ELEMENTARY SPANISH II,151,3.0796754966887416,0,Regular Academic Session
SECOND-YEAR SPANISH I,1779,3.084400224845417,0,Regular Academic Session
SECOND-YEAR SPANISH II,1629,3.417882750153467,4.3,Regular Academic Session
INTERMED SPAN HERITAGE SPKRS,74,3.1189999999999998,0,Regular Academic Session
SPANISH GRAMMAR IN CONTEXT,605,3.616912396694215,9.1,Regular Academic Session
ADVNCD SPAN FOR HERITAGE SPKRS,198,3.308373737373738,0,Regular Academic Session
COMPOSITN & CONVERS IN SPANISH,187,3.735326203208557,11.8,Regular Academic Session
SPAN WRITNG FOR HERITAGE SPKRS,56,3.112392857142857,0,Regular Academic Session
SPANISH IN THE BUSINESS WORLD,53,3.558415094339623,0,Regular Academic Session
INTRO TO FILM ANALYSIS IN SPAN,29,3.8310689655172414,14.3,Regular Academic Session
INTRO STUDY OF HISP CULTURES,387,3.4411214470284235,0,Regular Academic Session
INTRO TO HISPANIC LINGUISTICS,318,3.489937106918239,4.8,Regular Academic Session
INTRO TO HISPANIC LITERATURE,256,3.4746210937500006,0,Regular Academic Session
